"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YJR094W-A","-A","Translation / Ribosome",3,"YJR094W-A RPL43B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L43B                  S0003855","RPL43B PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L43B S0003855"
"YPL160W","CDC60","Translation / Ribosome",3,"YPL160W   CDC60      PROTEIN SYNTHESIS                       TRNA SYNTHETASE, LEUCYL                 S0006081","PROTEIN SYNTHESIS TRNA SYNTHETASE, LEUCYL S0006081"
"YGL078C","DBP3","Translation / Ribosome",3,"YGL078C   DBP3       RRNA PROCESSING                         RNA HELICASE                            S0003046","RRNA PROCESSING RNA HELICASE S0003046"
"YKR024C","DBP7","Translation / Ribosome",3,"YKR024C   DBP7       RIBOSOME BIOGENESIS                     PUTATIVE RNA HELICASE                   S0001732","RIBOSOME BIOGENESIS PUTATIVE RNA HELICASE S0001732"
"YHR019C","DED81","Translation / Ribosome",3,"YHR019C   DED81      PROTEIN SYNTHESIS                       TRNA SYNTHETASE, ARPARAGINYL            S0001061","PROTEIN SYNTHESIS TRNA SYNTHETASE, ARPARAGINYL S0001061"
"YPL266W","DIM1","Translation / Ribosome",3,"YPL266W   DIM1       RRNA PROCESSING, 18S                    DIMETHYLADENOSINE TRANSFERASE           S0006187","RRNA PROCESSING, 18S DIMETHYLADENOSINE TRANSFERASE S0006187"
"YLL008W","DRS1","Translation / Ribosome",3,"YLL008W   DRS1       RRNA PROCESSING                         RNA HELICASE                            S0003931","RRNA PROCESSING RNA HELICASE S0003931"
"YAL003W","EFB1","Translation / Ribosome",3,"YAL003W   EFB1       PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EF1-BETA  S0000003","PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF1-BETA S0000003"
"YDR385W","EFT2","Translation / Ribosome",3,"YDR385W   EFT2       PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EEF2      S0002793","PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EEF2 S0002793"
"YLR060W","FRS1","Translation / Ribosome",3,"YLR060W   FRS1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, PHENYLALANYL, SUBUNIT  S0004050","PROTEIN SYNTHESIS TRNA SYNTHETASE, PHENYLALANYL, SUBUNIT S0004050"
"YFL022C","FRS2","Translation / Ribosome",3,"YFL022C   FRS2       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, PHENYLALANYL           S0001872","PROTEIN SYNTHESIS TRNA SYNTHETASE, PHENYLALANYL S0001872"
"YHR089C","GAR1","Translation / Ribosome",3,"YHR089C   GAR1       RRNA PROCESSING                         SNORNP PROTEIN                          S0001131","RRNA PROCESSING SNORNP PROTEIN S0001131"
"YOR260W","GCD1","Translation / Ribosome",3,"YOR260W   GCD1       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B GAMMS0005786","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B GAMMS0005786"
"YNL062C","GCD10","Translation / Ribosome",3,"YNL062C   GCD10      PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF3 RNA-BS0005006","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 RNA-BS0005006"
"YER025W","GCD11","Translation / Ribosome",3,"YER025W   GCD11      PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2 GAMMAS0000827","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2 GAMMAS0000827"
"YJL125C","GCD14","Translation / Ribosome",3,"YJL125C   GCD14      PROTEIN SYNTHESIS                       TRANSLATION REPRESSOR OF GCN4           S0003661","PROTEIN SYNTHESIS TRANSLATION REPRESSOR OF GCN4 S0003661"
"YGR083C","GCD2","Translation / Ribosome",3,"YGR083C   GCD2       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B SUBUS0003315","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0003315"
"YDR211W","GCD6","Translation / Ribosome",3,"YDR211W   GCD6       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B SUBUS0002619","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0002619"
"YLR291C","GCD7","Translation / Ribosome",3,"YLR291C   GCD7       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B SUBUS0004282","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0004282"
