gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0180,t0240,t0360,t0480
GWK60_J01177,0,0,-1.5274351442081628,-3.905873705084816,-4.14339517703218,-3.424785688789488,-1.921065124565837,-1.5485523083614845,-1.1336151489230168,-1.4054930124140328
GWK60_J01199,0,0,0,0,1.0291535350755296,0,0,0,0,0
GWK60_J01221,0,0,0,0,0,0,0,-1.013615984762128,0,-1.5141520759239668
GWK60_J01243,1.757504109023421,0,1.3332575064201186,3.0662790433065497,4.129140423433129,4.386968954970286,4.306169672638554,3.763369761866633,3.6353347975391945,3.668104905157075
GWK60_J01265,0,0,0,1.5502409973412576,1.756822151178551,1.631832806601489,1.2163704487162852,0,0,0
GWK60_J01309,0,0,0,1.479198618448092,1.7192691310002777,1.8956823361791575,1.8791562057194848,1.6783166984216928,1.6241329947543683,1.7954351754588982
GWK60_J01353,-1.0114069072812402,-2.1816542111534134,-1.3258523869062668,-1.087784727017019,0,0,-1.3121357795677446,-1.6538711481595418,-1.569508547281775,-1.453377329105411
GWK60_J01375,0,0,2.343150244461961,2.405709834200613,1.1504195336535712,0,-1.8000140279301973,-3.002209761670223,-3.122584120112769,-3.2456140615310503
GWK60_J01397,0,1.0987836216703857,0,0,-1.0654068138696764,-1.0486097024545578,0,0,0,0
GWK60_J01441,0,0,0,0,1.2383763410668809,1.0054794336800668,0,0,0,0
GWK60_J01529,0,0,1.6159654413003604,1.7976923052790623,1.542090892340907,1.1542410981268167,0,0,0,0
GWK60_J01551,2.37876596170544,1.61004332790701,2.677046392498483,3.5727093593841275,4.07275298544766,4.405248690496517,4.187621116798388,4.314787650390616,4.31187568890393,4.528632327573517
GWK60_J01595,0,0,1.1039730980835083,2.416472313546507,3.139095600083803,2.61010183089249,2.363850068056196,2.1271791647610634,2.113053756064446,1.7837340071677286
GWK60_J01705,0,0,0,-4.646277084051787,-3.827437985996282,-3.25465794203307,-1.8734203974734611,-1.2447368617134889,0,0
GWK60_J01727,0,0,1.1045318711448755,1.3695324175278247,1.6257002500840965,1.66459893756549,1.6432730811596583,1.5345189026323514,1.5953936825786363,1.6888132995619731
GWK60_J01771,0,0,0,0,0,0,0,1.0210850913143696,1.2176023583490214,1.425094861395093
GWK60_J01815,0,0,0,0,1.2036966561290556,1.185451854866456,0,0,0,0
GWK60_J01859,0,0,1.4946703355538178,2.2766065419968973,2.649611706756271,2.6706306963910817,2.3012885282578077,2.1859977966209363,1.9139589848926577,1.8087813041409193
GWK60_J01947,0,0,-1.3487598225746584,-1.837320605995928,-2.146238247901967,-2.133247036212094,-1.704237899895359,-1.5545649856724175,-1.282115426375854,-1.171682461191407
GWK60_J01969,0,0,-1.2542138986477434,-1.7758851726853415,-1.664521978494354,-1.303160823053367,0,-1.0842896270390443,-1.0429049747346275,0
GWK60_J02013,0,0,0,0,0,0,0,0,0,1.0081720171899238
GWK60_J02035,0,0,1.3239877649403835,1.054977708005591,0,1.2159709239729763,1.288994545353385,1.231176843335222,1.3956560481357925,1.5787236860529854
GWK60_J02057,0,1.434999420690083,0,-3.243948418534241,-2.253311028831704,-1.2017315377671354,0,0,0,1.191124893197365
